%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	2	0x0000000000000044	1474639288.789147	1474639288.789147	0.000000	1	2	eth:arp	14:cc:20:51:33:ea	50:c7:bf:00:56:39	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	14:cc:20:51:33:ea_50:c7:bf:00:56:39_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	2	0x0000000000000045	1474639288.789906	1474639288.789906	0.000000	1	2	eth:arp	50:c7:bf:00:56:39	14:cc:20:51:33:ea	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:56:39_14:cc:20:51:33:ea_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	3	0x0000000000000044	1474639524.869146	1474639524.869146	0.000000	1	2	eth:arp	14:cc:20:51:33:ea	50:c7:bf:00:56:39	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	14:cc:20:51:33:ea_50:c7:bf:00:56:39_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	3	0x0000000000000045	1474639524.870794	1474639524.870794	0.000000	1	2	eth:arp	50:c7:bf:00:56:39	14:cc:20:51:33:ea	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:56:39_14:cc:20:51:33:ea_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	4	0x0000000000000004	1474639743.357451	1474639743.357451	0.000000	1	2	eth:eapol	50:c7:bf:00:56:39	14:cc:20:51:33:e9	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:56:39_14:cc:20:51:33:e9_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	0	99	0	99	99	99	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	5	0x0000000000000044	1474639760.949135	1474639760.949135	0.000000	1	2	eth:arp	14:cc:20:51:33:ea	50:c7:bf:00:56:39	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	14:cc:20:51:33:ea_50:c7:bf:00:56:39_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	5	0x0000000000000045	1474639760.965476	1474639760.965476	0.000000	1	2	eth:arp	50:c7:bf:00:56:39	14:cc:20:51:33:ea	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:56:39_14:cc:20:51:33:ea_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	6	0x0000000000000044	1474639997.019140	1474639997.019140	0.000000	1	2	eth:arp	14:cc:20:51:33:ea	50:c7:bf:00:56:39	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	14:cc:20:51:33:ea_50:c7:bf:00:56:39_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	6	0x0000000000000045	1474639997.019903	1474639997.019903	0.000000	1	2	eth:arp	50:c7:bf:00:56:39	14:cc:20:51:33:ea	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:56:39_14:cc:20:51:33:ea_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	7	0x0000000000000044	1474640233.009150	1474640233.009150	0.000000	1	2	eth:arp	14:cc:20:51:33:ea	50:c7:bf:00:56:39	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	14:cc:20:51:33:ea_50:c7:bf:00:56:39_1	TPLinkTec,CN_TPLinkTec,CN	0	unknown	1	1	28	28	28	28	28	0	0	0	0	0	0	0	0	0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
