%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	6	0x0400000000004000	1475157634.980929	1475157634.980929	0.000000	1	3	eth:ipv4:udp	70:5a:0f:e4:9b:c0	14:cc:20:51:33:ea	0x0800		192.168.1.236	07	"Private network"	68	192.168.1.1	07	"Private network"	67	17	0x00	1	70:5a:0f:e4:9b:c0_14:cc:20:51:33:ea_1	HewlettPa,US_TPLinkTec,CN	67	bootps	1	1	300	307	300	300	300	0	0	0	0	0	0	0	0	-0.01153213	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.002324	0.002324	0.002324	0.002324	0	0.002324	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	2	0.5
B	6	0x0400000000004001	1475157634.983253	1475157634.983253	0.000000	1	3	eth:ipv4:udp	14:cc:20:51:33:ea	70:5a:0f:e4:9b:c0	0x0800		192.168.1.1	07	"Private network"	67	192.168.1.236	07	"Private network"	68	17	0x00	1	14:cc:20:51:33:ea_70:5a:0f:e4:9b:c0_1	TPLinkTec,CN_HewlettPa,US	67	bootps	1	1	307	300	307	307	307	0	0	0	0	0	0	0	0	0.01153213	0x0001	65535	0	64	64	0	0x00	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.002324	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	1	1	1
A	9	0x0400000000004000	1475157715.003926	1475157715.003926	0.000000	1	3	eth:ipv4:igmp	70:5a:0f:e4:9b:c0	01:00:5e:7f:ff:fa	0x0800		192.168.1.236	07	"Private network"	0	239.255.255.250	10	"Organization-Local Scope"	0	2	0x00	1	70:5a:0f:e4:9b:c0_01:00:5e:7f:ff:fa_1	HewlettPa,US_IPv4Multi	0	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0001	65535	0	1	1	0	0x00	0x0000	1	0x10_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	2	0.6666667
A	11	0x0800000000008001	1475158115.104484	1475158115.104484	0.000000	1	4	eth:ipv6:ipv6.hopopts:icmpv6	70:5a:0f:e4:9b:c0	33:33:00:00:00:fb	0x86dd		fe80::725a:fff:fee4:9bc0	04	"Link-local"	0	ff02::fb	10	"mDNSv6"	0	58	0x00	1	70:5a:0f:e4:9b:c0_33:33:00:00:00:fb_1	HewlettPa,US_IPv6Multi	0	unknown	1	0	16	0	16	16	16	0	0	0	0	0	0	0	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	2_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000008_0x00000000_0x0001	0x00000000	0	0	6	1	1	1	0.1666667
A	12	0x0000000000000004	1475158146.410649	1475158146.410649	0.000000	1	2	eth:eapol	70:5a:0f:e4:9b:c0	14:cc:20:51:33:e9	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	70:5a:0f:e4:9b:c0_14:cc:20:51:33:e9_1	HewlettPa,US_TPLinkTec,CN	0	unknown	1	0	99	0	99	99	99	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	13	0x0800000000008001	1475158367.423183	1475158367.423183	0.000000	1	4	eth:ipv6:ipv6.hopopts:icmpv6	70:5a:0f:e4:9b:c0	33:33:00:00:00:fb	0x86dd		fe80::725a:fff:fee4:9bc0	04	"Link-local"	0	ff02::fb	10	"mDNSv6"	0	58	0x00	1	70:5a:0f:e4:9b:c0_33:33:00:00:00:fb_1	HewlettPa,US_IPv6Multi	0	unknown	1	0	16	0	16	16	16	0	0	0	0	0	0	0	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	2_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000008_0x00000000_0x0001	0x00000000	0	0	6	1	1	1	0.1666667
A	14	0x0400000000004000	1475158469.577130	1475158469.577130	0.000000	1	3	eth:ipv4:igmp	70:5a:0f:e4:9b:c0	01:00:5e:7f:ff:fa	0x0800		192.168.1.236	07	"Private network"	0	239.255.255.250	10	"Organization-Local Scope"	0	2	0x00	1	70:5a:0f:e4:9b:c0_01:00:5e:7f:ff:fa_1	HewlettPa,US_IPv4Multi	0	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0001	65535	0	1	1	0	0x00	0x0000	1	0x10_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	2	0.6666667
A	15	0x0800000000008001	1475158744.160016	1475158744.160016	0.000000	1	4	eth:ipv6:ipv6.hopopts:icmpv6	70:5a:0f:e4:9b:c0	33:33:00:00:00:fb	0x86dd		fe80::725a:fff:fee4:9bc0	04	"Link-local"	0	ff02::fb	10	"mDNSv6"	0	58	0x00	1	70:5a:0f:e4:9b:c0_33:33:00:00:00:fb_1	HewlettPa,US_IPv6Multi	0	unknown	1	0	16	0	16	16	16	0	0	0	0	0	0	0	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	2_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000008_0x00000000_0x0001	0x00000000	0	0	6	1	1	1	0.1666667
A	16	0x0000000000000004	1475158746.411182	1475158746.411182	0.000000	1	2	eth:eapol	70:5a:0f:e4:9b:c0	14:cc:20:51:33:e9	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	70:5a:0f:e4:9b:c0_14:cc:20:51:33:e9_1	HewlettPa,US_TPLinkTec,CN	0	unknown	1	0	99	0	99	99	99	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	18	0x0400000000004000	1475159220.534788	1475159220.534788	0.000000	1	3	eth:ipv4:igmp	70:5a:0f:e4:9b:c0	01:00:5e:7f:ff:fa	0x0800		192.168.1.236	07	"Private network"	0	239.255.255.250	10	"Organization-Local Scope"	0	2	0x00	1	70:5a:0f:e4:9b:c0_01:00:5e:7f:ff:fa_1	HewlettPa,US_IPv4Multi	0	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0001	65535	0	1	1	0	0x00	0x0000	1	0x10_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	2	0.6666667
