%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	1	0x0400000000004000	1475157603.182268	1475157603.182268	0.000000	1	3	eth:ipv4:udp	18:b7:9e:02:20:44	14:cc:20:51:33:ea	0x0800		192.168.1.120	07	"Private network"	37616	192.168.1.1	07	"Private network"	53	17	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:ea_1	Invoxia,FR_TPLinkTec,CN	53	domain	1	1	33	49	33	33	33	0	0	0	0	0	0	0	0	-0.1951219	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.000334	0.000334	0.000334	0.000334	0	0.000334	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	1	0x0400000000004001	1475157603.182602	1475157603.182602	0.000000	1	3	eth:ipv4:udp	14:cc:20:51:33:ea	18:b7:9e:02:20:44	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.120	07	"Private network"	37616	17	0x00	1	14:cc:20:51:33:ea_18:b7:9e:02:20:44_1	TPLinkTec,CN_Invoxia,FR	53	domain	1	1	49	33	49	49	49	0	0	0	0	0	0	0	0	0.1951219	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.000334	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	5	0x0000000000000004	1475158148.894605	1475158148.933864	0.039259	1	2	eth:eapol	18:b7:9e:02:20:44	14:cc:20:51:33:e9	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:e9_4	Invoxia,FR_TPLinkTec,CN	0	unknown	4	0	396	0	99	99	99	0	0	0.020307	0.00981475	0.006013088	101.8875	10086.86	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	6	0x0400000000004000	1475158202.154674	1475158202.154674	0.000000	1	3	eth:ipv4:udp	18:b7:9e:02:20:44	14:cc:20:51:33:ea	0x0800		192.168.1.120	07	"Private network"	37616	192.168.1.1	07	"Private network"	53	17	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:ea_1	Invoxia,FR_TPLinkTec,CN	53	domain	1	1	33	242	33	33	33	0	0	0	0	0	0	0	0	-0.76	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.003324	0.003324	0.003324	0.003324	0	0.003324	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	6	0x0400000000004001	1475158202.157998	1475158202.157998	0.000000	1	3	eth:ipv4:udp	14:cc:20:51:33:ea	18:b7:9e:02:20:44	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.120	07	"Private network"	37616	17	0x00	1	14:cc:20:51:33:ea_18:b7:9e:02:20:44_1	TPLinkTec,CN_Invoxia,FR	53	domain	1	1	242	33	242	242	242	0	0	0	0	0	0	0	0	0.76	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.003324	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	7	0x0400000000004000	1475158501.142761	1475158503.166317	2.023556	1	3	eth:ipv4:udp	18:b7:9e:02:20:44	14:cc:20:51:33:ea	0x0800		192.168.1.120	07	"Private network"	37616	192.168.1.1	07	"Private network"	53	17	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:ea_2	Invoxia,FR_TPLinkTec,CN	53	domain	2	2	66	291	33	33	33	0	0	2.023556	1.011778	0.7154351	0.9883591	32.61585	0	-0.6302521	0x0001	128	128	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.249447	0.000401	0.249447	0.124924	0.08805106	2.023556	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	7	0x0400000000004001	1475158501.392208	1475158503.166718	1.774510	1	3	eth:ipv4:udp	14:cc:20:51:33:ea	18:b7:9e:02:20:44	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.120	07	"Private network"	37616	17	0x00	1	14:cc:20:51:33:ea_18:b7:9e:02:20:44_2	TPLinkTec,CN_Invoxia,FR	53	domain	2	2	291	66	49	242	145.5	68.2358	0	1.77451	0.887255	0.627384	1.127072	163.9889	0	0.6302521	0x0001	142	142	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	1.774109	1.774109	1.774109	1.774109	0	1.899033	0.08805106	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	8	0x0000000000000004	1475158746.915150	1475158746.928223	0.013073	1	2	eth:eapol	18:b7:9e:02:20:44	14:cc:20:51:33:e9	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:e9_2	Invoxia,FR_TPLinkTec,CN	0	unknown	2	0	198	0	99	99	99	0	0	0.013073	0.0065365	0.004622004	152.9871	15145.72	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	9	0x0400000000004000	1475159102.115017	1475159102.115017	0.000000	1	3	eth:ipv4:udp	18:b7:9e:02:20:44	14:cc:20:51:33:ea	0x0800		192.168.1.120	07	"Private network"	37616	192.168.1.1	07	"Private network"	53	17	0x00	1	18:b7:9e:02:20:44_14:cc:20:51:33:ea_1	Invoxia,FR_TPLinkTec,CN	53	domain	1	1	33	49	33	33	33	0	0	0	0	0	0	0	0	-0.1951219	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.000337	0.000337	0.000337	0.000337	0	0.000337	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	9	0x0400000000004001	1475159102.115354	1475159102.115354	0.000000	1	3	eth:ipv4:udp	14:cc:20:51:33:ea	18:b7:9e:02:20:44	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.120	07	"Private network"	37616	17	0x00	1	14:cc:20:51:33:ea_18:b7:9e:02:20:44_1	TPLinkTec,CN_Invoxia,FR	53	domain	1	1	49	33	49	49	49	0	0	0	0	0	0	0	0	0.1951219	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.000337	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
