%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	2	0x0400000000004000	1556247603.260116	1556247611.461858	8.201742	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	49776	52.46.128.105	us	"Amazon Technologies Inc"	443	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_20	AmazonTec,US_-	443	https	20	19	6933	4862	0	1460	346.65	552.3076	0	6.02901	0.4100871	1.323828	2.438506	845.3082	0.02564103	0.1755829	0x0a13	1	2	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4100209699	19	6933	0	19	4862	0	6437	65535	101123	65535	102208	0	6	1	0	0x001a	0x0000	1	5	0x0000011e	1460	64	0x0000	0x00	0	0x00	1371357	0	0.004	5485.428261	1556242117.831856	0.011743	0.000334	14.22886	1.177991	3.278789	0.016345	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	6	1.2
B	2	0x0400000000004001	1556247603.271859	1556247625.690717	22.418858	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	00:71:47:c0:91:93	0x0800		52.46.128.105	us	"Amazon Technologies Inc"	443	192.168.10.147	07	"Private network"	49776	6	0x00	1	22:ef:03:1a:97:b9_00:71:47:c0:91:93_19	-_AmazonTec,US	443	https	19	20	4862	6933	0	1460	255.8947	443.9632	0	14.26662	1.17994	3.28844	0.8475008	216.871	-0.02564103	-0.1755829	0x0a31	48553	14373	217	227	2	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1471499956	19	4862	0	19	6933	0	4121	8190	206834.3	8190	595200	0	7	1	0	0x071f	0x0000	1	6	0x0000001e	1460	64	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.004602	0.000312	0.072351	0.0108025	0.01676854	1.188794	3.278832	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	5	5
A	8	0x0400000000004000	1556247679.607494	1556247679.607791	0.000297	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	45110	13.33.79.35	us	"Amazoncom"	443	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_3	AmazonTec,US_-	443	https	3	5	31	77	0	31	10.33333	10.75527	0	0.000278	9.9e-05	0.0001034911	10101.01	104377.1	-0.25	-0.4259259	0x0013	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1622554556	3	31	0	3	0	0	31	1686	1686	1686	1686	0	0	0	0	0x0119	0x3000	3	9	0x00000102	0	1	0x0000	0x00	0	0x00	1378992	2232966540	0.004	5515.968262	1556242163.639530	0	0.002699	0.002699	0.00067475	0.001012125	0	0	0x07	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	6	1.2
B	8	0x0400000000004001	1556247679.598576	1556247679.610758	0.012182	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	00:71:47:c0:91:93	0x0800		13.33.79.35	us	"Amazoncom"	443	192.168.10.147	07	"Private network"	45110	6	0x00	1	22:ef:03:1a:97:b9_00:71:47:c0:91:93_5	-_AmazonTec,US	443	https	5	3	77	31	0	46	15.4	16.265	0	0.011759	0.0024364	0.004044781	410.4416	6320.801	0.25	0.4259259	0x0013	1	16055	244	244	0	0x28	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4091208628	3	77	0	3	0	0	0	122	59.78	0	122	1	0	0	0	0x011d	0x2000	3	9	0x00000102	0	1	0x0000	0x00	0	0x00	2232966540	1354991	0.1	223296657.327379	1332951022.271352	0	0.008763	0.00906	0.008868333	0.0001107949	0.009543083	0.001018171	0x57	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	5	5
A	16	0x0400000000004000	1556247765.727781	1556247765.727800	0.000019	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	43491	13.33.79.35	us	"Amazoncom"	443	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_2	AmazonTec,US_-	443	https	2	0	31	0	0	31	15.5	10.96016	0	1.9e-05	9.5e-06	6.717514e-06	105263.2	1631579	1	1	0x0017	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1965186472	2	31	0	2	0	0	0	1522	1522	1522	1522	0	0	0	0	0x041c	0x0000	2	6	0x00000102	0	1	0x0000	0x00	0	0x00	0	2228996360	0.001	0.000000	1556247765.727800	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	10	1.25
A	17	0x0400000000004000	1556247765.728048	1556247765.728389	0.000341	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	44333	13.33.79.35	us	"Amazoncom"	443	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_2	AmazonTec,US_-	443	https	2	0	31	0	0	31	15.5	10.96016	0	0.000341	0.0001705	0.0001205617	5865.103	90909.09	1	1	0x0017	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3163769393	2	31	0	2	0	0	0	1522	1522	1522	1522	0	0	0	0	0x041c	0x0000	2	6	0x00000102	0	1	0x0000	0x00	0	0x00	0	2229704158	0.001	0.000000	1556247765.728389	0	65535	0	0	0	0	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	3	9	1.125
A	18	0x0400000000004000	1556247765.731905	1556247765.739352	0.007447	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	44157	13.33.191.219	us	"Amazoncom"	80	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_2	AmazonTec,US_-	80	http	2	1	0	0	0	0	0	0	0	0.007447	0.0037235	0.002632912	268.5645	0	0.3333333	0	0x0013	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	753956885	2	0	0	2	0	0	0	1386	1386	1386	1386	0	0	0	0	0x0111	0x3000	2	6	0x00000102	0	1	0x0000	0x00	0	0x00	1387605	1863224232	0.01	13876.049690	1556233889.689663	0	0.000649	0.000649	0.000649	0	0	0	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25
B	18	0x0400000000004001	1556247765.732554	1556247765.732554	0.000000	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	00:71:47:c0:91:93	0x0800		13.33.191.219	us	"Amazoncom"	80	192.168.10.147	07	"Private network"	44157	6	0x00	1	22:ef:03:1a:97:b9_00:71:47:c0:91:93_1	-_AmazonTec,US	80	http	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2414172523	1	0	0	1	0	0	0	235	235	235	235	0	0	0	0	0x0111	0x2000	1	3	0x00000102	0	1	0x0000	0x00	0	0x00	1863224232	1387604	0.004	7452897.281994	1548794868.450561	0	0.006798	0.006798	0.003399	0.002403456	0.004048	0.002403456	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1
A	10	0x0400000000004000	1556247732.698320	1556247741.153583	8.455263	1	3	eth:ipv4:tcp	00:71:47:c0:91:93	22:ef:03:1a:97:b9	0x0800		192.168.10.147	07	"Private network"	45223	52.46.133.39	us	"Amazon Technologies Inc"	443	6	0x00	1	00:71:47:c0:91:93_22:ef:03:1a:97:b9_72	AmazonTec,US_-	443	https	72	45	83277	5128	0	1460	1156.625	553.6367	0	6.028858	0.1174342	0.7344331	8.515407	9849.132	0.2307692	0.8839884	0x0a13	1	3	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2841772432	71	83277	0	71	5128	0	26280	65535	104132.6	65535	105152	0	6	1	0	0x001a	0x0000	1	5	0x0000011e	1460	64	0x0000	0x00	0	0x00	1384301	0	0.004	5537.204263	1556242195.494057	0.011592	4.3e-05	32.86459	0.9222389	4.847664	0.020249	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	8	1.142857
B	10	0x0400000000004001	1556247732.709912	1556247774.018173	41.308261	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	00:71:47:c0:91:93	0x0800		52.46.133.39	us	"Amazon Technologies Inc"	443	192.168.10.147	07	"Private network"	45223	6	0x00	1	22:ef:03:1a:97:b9_00:71:47:c0:91:93_45	-_AmazonTec,US	443	https	45	72	5128	83277	0	1460	113.9556	313.3692	0	32.90551	0.9179614	4.855062	1.08937	124.1398	-0.2307692	-0.8839884	0x0a31	1	37234	221	233	2	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4009421710	45	5128	0	45	83277	0	4468	8190	299198	8190	595200	0	19	1	0	0x071f	0x0000	1	6	0x0000001e	1460	64	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.008657	2.4e-05	0.078064	0.01747851	0.02685247	0.9397175	4.847738	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	7	7
