%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	2	0x0400000000004000	1556247604.549838	1556247619.039498	14.489660	1	3	eth:ipv4:tcp	20:df:b9:5f:41:7e	22:ef:03:1a:97:b9	0x0800		192.168.10.225	07	"Private network"	52392	172.217.12.132	us	"Google LLC"	443	6	0x00	1	20:df:b9:5f:41:7e_22:ef:03:1a:97:b9_2	GoogleInc,US_-	443	https	2	4	0	55	0	0	0	0	0	14.48966	7.24483	5.122869	0.1380295	0	-0.3333333	-1	0x0013	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1071043006	1	1	0	2	56	0	0	661	661	661	661	0	0	0	0	0x0111	0x3200	2	6	0x00000102	0	0	0x0000	0x00	0	0x00	12361	1998029261	0.01	123.609997	1556247495.429501	0	0.00568	14.48834	7.247007	5.660799	0	0	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333
B	2	0x0400000000004001	1556247604.555518	1556247619.045194	14.489676	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	20:df:b9:5f:41:7e	0x0800		172.217.12.132	us	"Google LLC"	443	192.168.10.225	07	"Private network"	52392	6	0x00	1	22:ef:03:1a:97:b9_20:df:b9:5f:41:7e_4	-_GoogleInc,US	443	https	4	2	55	0	0	55	13.75	17.89849	0	14.48264	3.622419	4.712029	0.2760586	3.795806	0.3333333	1	0x0013	1	6940	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1742721491	4	55	0	4	0	3	55	1050	1050	1050	1050	0	0	0	0	0x0119	0x2120	4	12	0x00000102	0	0	0x0000	0x00	0	0x00	1998029268	12361	0.001	1998029.362901	1554249589.682293	0	0.001324	0.001324	0.000662	0.0004681047	7.247669	5.660799	0x01	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1
A	7	0x0000000000000044	1556247613.841330	1556247615.829491	1.988161	1	2	eth:arp	20:df:b9:5f:41:7e	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:df:b9:5f:41:7e_ff:ff:ff:ff:ff:ff_3	GoogleInc,US_Broadcast	0	unknown	3	0	84	0	28	28	28	0	0	0.999983	0.6627203	0.3453839	1.508932	42.2501	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	11	0x0400000000004000	1556247632.427325	1556247632.427325	0.000000	1	3	eth:ipv4:udp	20:df:b9:5f:41:7e	22:ef:03:1a:97:b9	0x0800		192.168.10.225	07	"Private network"	54383	8.8.8.8	us	"Google LLC"	53	17	0x00	1	20:df:b9:5f:41:7e_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	47	63	47	47	47	0	0	0	0	0	0	0	0	-0.1454545	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.081103	0.081103	0.081103	0.081103	0	0.081103	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	16	14	1.272727
B	11	0x0400000000004001	1556247632.508428	1556247632.508428	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	20:df:b9:5f:41:7e	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.225	07	"Private network"	54383	17	0x00	1	22:ef:03:1a:97:b9_20:df:b9:5f:41:7e_1	-_GoogleInc,US	53	domain	1	1	63	47	63	63	63	0	0	0	0	0	0	0	0	0.1454545	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.081103	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	15	13	13
A	12	0x0400000000004000	1556247632.519213	1556247632.575282	0.056069	1	3	eth:ipv4:udp	20:df:b9:5f:41:7e	22:ef:03:1a:97:b9	0x0800		192.168.10.225	07	"Private network"	52593	172.217.6.195	us	"Google LLC"	443	17	0x00	1	20:df:b9:5f:41:7e_22:ef:03:1a:97:b9_5	GoogleInc,US_-	443	https	5	4	1804	1501	28	1350	360.8	405.8884	0	0.031236	0.0112138	0.01167312	89.17583	32174.64	0.1111111	0.09167928	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.005759	0.020245	0.016614	0.005427505	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	2	8	0.7272727
B	12	0x0400000000004001	1556247632.540170	1556247632.549805	0.009635	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	20:df:b9:5f:41:7e	0x0800		172.217.6.195	us	"Google LLC"	443	192.168.10.225	07	"Private network"	52593	17	0x00	1	22:ef:03:1a:97:b9_20:df:b9:5f:41:7e_4	-_GoogleInc,US	443	https	4	5	1501	1804	20	1350	375.25	423.1183	0	0.009607	0.00240875	0.003599128	415.1531	155786.2	-0.1111111	-0.09167928	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.003595	0.025477	0.006584	0.008563161	0.023198	0.01013832	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	1	7	7
A	14	0x0000000000000044	1556247644.997896	1556247658.108422	13.110526	1	2	eth:arp	20:df:b9:5f:41:7e	78:4f:43:83:28:67	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:df:b9:5f:41:7e_78:4f:43:83:28:67_3	GoogleInc,US_AppleInc,US	0	unknown	3	1	84	28	28	28	28	0	0	10.46874	4.370175	3.602648	0.2288238	6.407065	0.5	0.5	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
B	14	0x0000000000000045	1556247658.233552	1556247658.233552	0.000000	1	2	eth:arp	78:4f:43:83:28:67	20:df:b9:5f:41:7e	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	78:4f:43:83:28:67_20:df:b9:5f:41:7e_1	AppleInc,US_GoogleInc,US	0	unknown	1	3	28	84	28	28	28	0	0	0	0	0	0	0	-0.5	-0.5	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	19	0x0400000000004000	1556247660.334546	1556247660.334568	0.000022	1	3	eth:ipv4:udp	20:df:b9:5f:41:7e	22:ef:03:1a:97:b9	0x0800		192.168.10.225	07	"Private network"	37717	8.8.8.8	us	"Google LLC"	53	17	0x00	1	20:df:b9:5f:41:7e_22:ef:03:1a:97:b9_2	GoogleInc,US_-	53	domain	2	2	64	108	32	32	32	0	0	2.2e-05	1.1e-05	7.778174e-06	90909.09	2909091	0	-0.255814	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.021287	0.021487	0.021387	7.071056e-05	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	12	1	36	34	2.833333
